"*Master* - Odessa > 177 > Power End > Hole 5 > Damage Accumulation",,,,,"*Master* - Odessa > 319 > Power End > Hole 1 > Damage Accumulation",,,,,
Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,
10/15/2018 8:18:16 PM,0.0014374,0.0014374,0.0014374,,10/15/2018 3:00:04 PM,0.0014693,0.0014693,0.0014693,,
10/15/2018 8:19:16 PM,0.0014524,0.0014524,0.0014524,,10/15/2018 3:01:05 PM,0.001647,0.001647,0.001647,,
10/15/2018 8:20:17 PM,0.0014178,0.0014178,0.0014178,,10/15/2018 3:02:05 PM,0.00155,0.00155,0.00155,,
10/15/2018 8:21:17 PM,0.0014735,0.0014735,0.0014735,,10/15/2018 3:03:06 PM,0.0016395,0.0016395,0.0016395,,
,,,,,10/15/2018 3:04:06 PM,0.00154,0.00154,0.00154,,
,,,,,10/15/2018 3:05:06 PM,0.0017011,0.0017011,0.0017011,,
,,,,,10/15/2018 3:06:07 PM,0.0015371,0.0015371,0.0015371,,
,,,,,10/15/2018 3:07:07 PM,0.0015527,0.0015527,0.0015527,,
,,,,,10/15/2018 3:08:07 PM,0.0016014,0.0016014,0.0016014,,
,,,,,10/15/2018 3:09:08 PM,0.0015057,0.0015057,0.0015057,,
,,,,,10/15/2018 3:10:08 PM,0.0016278,0.0016278,0.0016278,,
,,,,,10/15/2018 3:11:09 PM,0.0017132,0.0017132,0.0017132,,
,,,,,10/15/2018 3:12:09 PM,0.0016552,0.0016552,0.0016552,,
,,,,,10/15/2018 3:13:09 PM,0.0017048,0.0017048,0.0017048,,
,,,,,10/15/2018 3:14:10 PM,0.0015082,0.0015082,0.0015082,,
,,,,,10/15/2018 3:15:10 PM,0.0015456,0.0015456,0.0015456,,
,,,,,10/15/2018 3:16:11 PM,0.0016831,0.0016831,0.0016831,,
,,,,,10/15/2018 3:17:11 PM,0.0016074,0.0016074,0.0016074,,
,,,,,10/15/2018 3:18:12 PM,0.0015431,0.0015431,0.0015431,,
,,,,,10/15/2018 3:19:12 PM,0.0015021,0.0015021,0.0015021,,
,,,,,10/15/2018 3:20:12 PM,0.0015674,0.0015674,0.0015674,,
,,,,,10/15/2018 3:21:13 PM,0.0015809,0.0015809,0.0015809,,
